student,overall_placement_scale_score,scale_score,no_number_and_operations,alg_algebra_and_algebraic_thinking,ms_measurement_and_data,geo_geometry,typical_growth,stretch_growth,diagnostic_date,attendance_rate,tardies_ytd,behavior_incidents_ytd,positive_behavior_points,engagement_rating_1_5,at_risk_behavior_flag
"ALLEN, Samuel",Mid Grade 1 (443),443,Grade 2,Emerging Grade 1,Mid Grade 1,Mid Grade 1,24,41,05/14/26,89.2,12,2,49,2,No
"RAMIREZ, Anna",Emerging K (155),155,Emerging K,Emerging K,Early K,Mid K,29,47,04/23/26,85.1,13,1,9,3,No
"FLORES, Zoey",Early Grade 1 (427),427,Emerging Grade 1,Late Grade 1,Early Grade 1,Mid Grade 1,38,45,03/23/26,84.7,11,0,15,2,Yes
"REYES, Aurora",Emerging Grade 1 (420),420,Mid K,Emerging Grade 1,Late K,Mid K,20,29,06/01/26,94.8,15,1,50,5,No
"VASQUEZ, Aria",Late K (389),389,Early K,Early K,Late K,Emerging Grade 1,28,35,03/23/26,94.6,9,1,32,3,No
"RAMIREZ, Bella",Early K (331),331,Mid K,Emerging K,Emerging K,Early K,43,48,01/28/26,90.7,8,1,24,5,No
"LOPEZ, Jackson",Early Grade 1 (434),434,Emerging Grade 1,Early Grade 1,Emerging Grade 1,Mid Grade 1,43,58,03/27/26,94.2,10,1,3,3,No
"GONZALEZ, Jaxon",Grade 6 (563),563,Grade 7,Grade 6,Grade 6,Grade 6,22,41,01/12/26,97.0,9,0,39,3,No
"ROBERTS, Camila",Grade 7 (587),587,Grade 6,Grade 6,Grade 5,Grade 8,20,32,05/12/26,93.4,2,0,21,1,No
"ANDERSON, Charles",Grade 3 (510),510,Late Grade 1,Grade 2,Grade 5,Grade 2,33,53,01/05/26,93.7,6,3,33,3,Yes
"CLARK, Camila",Grade 7 (583),583,Grade 5,Grade 6,Grade 8,Grade 5,38,44,04/22/26,98.5,5,0,20,5,No
"JOHNSON, Isaac",Mid K (364),364,Early K,Emerging K,Early K,Early K,44,52,02/04/26,91.5,13,0,34,3,No
"ALVAREZ, Maverick",Emerging Grade 1 (415),415,Emerging Grade 1,Mid K,Mid K,Late K,45,59,06/23/26,89.3,8,3,9,2,Yes
"MILLER, Riley",Late K (382),382,Late K,Late K,Mid K,Early K,32,51,05/24/26,89.1,9,0,50,2,No
"SANCHEZ, Sofia",Grade 3 (508),508,Grade 2,Grade 2,Grade 4,Grade 3,41,48,05/19/26,93.7,12,0,4,3,No
"WHITE, Hudson",Grade 3 (503),503,Grade 3,Late Grade 1,Late Grade 1,Grade 4,21,31,05/14/26,95.3,4,0,43,3,No
"MUNOZ, Nora",Grade 5 (549),549,Grade 5,Grade 6,Grade 4,Grade 3,39,51,06/10/26,89.0,6,0,5,3,No
"MARTIN, Evelyn",Early K (354),354,Early K,Emerging K,Late K,Mid K,35,55,03/19/26,86.2,10,0,20,4,No
"CONTRERAS, Emma",Emerging K (220),220,Mid K,Early K,Mid K,Emerging K,25,33,02/22/26,88.8,14,2,47,2,No
"CAMPBELL, Owen",Grade 3 (513),513,Grade 3,Grade 2,Grade 2,Grade 2,38,53,06/23/26,91.5,10,1,22,5,No
"GUTIERREZ, Josiah",Early Grade 1 (427),427,Mid Grade 1,Late Grade 1,Early Grade 1,Emerging Grade 1,35,41,01/02/26,91.8,11,1,0,3,No
"ROMERO, Joshua",Grade 3 (511),511,Grade 2,Grade 3,Late Grade 1,Late Grade 1,24,33,01/28/26,91.2,7,0,45,5,No
"ROBERTS, Isaac",Emerging K (177),177,Early K,Emerging K,Emerging K,Mid K,33,53,06/11/26,92.2,18,2,39,5,No
"ROBERTS, Owen",Grade 3 (513),513,Grade 3,Grade 3,Grade 2,Grade 2,43,48,06/19/26,86.5,13,4,2,3,Yes
"EVANS, David",Early K (327),327,Late K,Early K,Mid K,Emerging K,27,43,03/06/26,84.1,4,2,42,4,Yes
"HARRIS, Carter",Emerging K (153),153,Emerging K,Mid K,Emerging K,Early K,28,36,06/01/26,91.7,12,1,10,5,No
"ANDERSON, Bella",Late K (393),393,Early K,Emerging Grade 1,Early Grade 1,Mid K,25,44,01/26/26,91.8,7,0,6,2,No
"ANDERSON, Ella",Early K (325),325,Emerging K,Mid K,Late K,Emerging K,33,43,05/14/26,90.0,11,0,12,3,No
"ADAMS, Christopher",Mid K (365),365,Mid K,Early K,Emerging K,Emerging K,32,52,02/02/26,87.8,12,0,42,4,No
"ROMERO, Brooklyn",Emerging K (152),152,Emerging K,Mid K,Early K,Emerging K,35,43,03/26/26,85.8,13,1,5,4,No
"JIMENEZ, Hazel",Late K (393),393,Late K,Mid K,Emerging Grade 1,Early K,28,47,04/09/26,90.8,12,0,48,4,No
"FLORES, Elijah",Late Grade 1 (478),478,Grade 2,Grade 3,Mid Grade 1,Grade 3,21,38,05/14/26,97.3,7,4,36,5,Yes
"NUNEZ, Dylan",Emerging K (318),318,Mid K,Emerging K,Mid K,Mid K,36,45,01/25/26,81.7,13,0,13,5,Yes
"GONZALEZ, Benjamin",Late K (394),394,Mid K,Mid K,Early Grade 1,Late K,30,37,01/13/26,86.8,8,3,33,4,Yes
"TURNER, Sofia",Early Grade 1 (434),434,Late K,Mid Grade 1,Emerging Grade 1,Emerging Grade 1,38,46,01/19/26,92.6,3,3,22,5,Yes
"TAYLOR, Aria",Mid Grade 1 (459),459,Grade 2,Late Grade 1,Emerging Grade 1,Early Grade 1,28,45,02/20/26,88.6,5,0,21,4,No
"ROBINSON, Mateo",Grade 5 (552),552,Grade 3,Grade 5,Grade 5,Grade 5,28,48,06/22/26,100.0,10,0,47,3,No
"VARGAS, Penelope",Late Grade 1 (480),480,Early Grade 1,Mid Grade 1,Grade 2,Mid Grade 1,33,53,05/28/26,92.1,9,2,4,3,No
"MOORE, Lincoln",Early K (354),354,Emerging K,Early K,Early K,Early K,21,33,01/15/26,91.9,11,0,23,5,No
"THOMAS, Lincoln",Mid Grade 1 (444),444,Emerging Grade 1,Early Grade 1,Mid Grade 1,Late Grade 1,39,58,02/28/26,88.5,9,0,16,4,No
"RIVERA, Isaiah",Mid K (368),368,Emerging K,Early K,Emerging Grade 1,Early K,27,39,06/07/26,89.4,13,0,49,5,No
"MARTINEZ, Samantha",Emerging Grade 1 (405),405,Late K,Mid Grade 1,Mid K,Late K,28,42,06/23/26,89.0,7,0,22,4,No
"LEWIS, Chloe",Mid K (372),372,Emerging Grade 1,Late K,Emerging Grade 1,Emerging K,20,36,05/21/26,87.8,8,2,30,2,No
"JOHNSON, Lily",Grade 4 (529),529,Grade 4,Grade 3,Grade 3,Grade 6,44,56,01/26/26,98.0,2,0,20,4,No
"HERNANDEZ, Nathan",Mid Grade 1 (450),450,Mid Grade 1,Late Grade 1,Late Grade 1,Late Grade 1,43,49,05/23/26,97.7,8,0,45,3,No
"ROBINSON, Asher",Grade 5 (552),552,Grade 7,Grade 5,Grade 4,Grade 7,25,39,01/16/26,96.8,8,1,48,5,No
"WILLIAMS, Samantha",Mid Grade 1 (448),448,Mid Grade 1,Early Grade 1,Mid Grade 1,Late Grade 1,45,60,03/09/26,89.3,6,0,3,5,No
"MITCHELL, Andrew",Grade 6 (563),563,Grade 7,Grade 5,Grade 8,Grade 4,41,58,05/10/26,90.6,9,0,12,3,No
"CLARK, Josiah",Early K (332),332,Emerging K,Late K,Mid K,Early K,30,36,01/15/26,88.5,15,0,48,2,No
"RIVERA, Aaliyah",Early K (348),348,Late K,Late K,Late K,Late K,32,37,01/18/26,90.1,13,0,20,4,No
"MORENO, Skylar",Emerging K (101),101,Mid K,Mid K,Emerging K,Emerging K,42,58,03/05/26,91.4,13,0,4,5,No
"DELGADO, John",Emerging Grade 1 (417),417,Mid Grade 1,Mid Grade 1,Emerging Grade 1,Early Grade 1,41,50,03/16/26,89.8,10,4,25,1,Yes
"CRUZ, Owen",Early K (322),322,Early K,Emerging K,Mid K,Emerging K,32,45,05/20/26,98.5,13,1,41,5,No
"REYES, Mateo",Late K (393),393,Early K,Early Grade 1,Late K,Emerging Grade 1,42,51,02/23/26,90.2,9,1,6,4,No
"TURNER, Joseph",Mid Grade 1 (445),445,Late Grade 1,Emerging Grade 1,Grade 2,Grade 2,23,37,01/26/26,93.8,9,0,16,5,No
"MILLER, Grace",Late Grade 1 (470),470,Mid Grade 1,Early Grade 1,Grade 3,Grade 2,26,46,03/08/26,97.3,8,3,36,4,Yes
"RIVERA, Abigail",Grade 2 (483),483,Mid Grade 1,Grade 2,Late Grade 1,Grade 3,29,42,04/02/26,94.9,8,0,18,3,No
"SMITH, Caleb",Emerging Grade 1 (404),404,Mid K,Mid K,Mid K,Late K,41,51,03/12/26,96.9,4,0,46,2,No
"JIMENEZ, Layla",Emerging K (202),202,Early K,Early K,Early K,Mid K,35,53,06/26/26,89.4,12,2,10,2,No
"WALKER, Anna",Grade 3 (515),515,Grade 2,Grade 5,Grade 4,Grade 3,39,44,06/27/26,93.1,1,0,31,2,No
"WHITE, Jayden",Emerging K (166),166,Mid K,Early K,Emerging K,Mid K,41,53,06/28/26,86.7,14,2,6,3,No
"MENDOZA, Kinsley",Emerging Grade 1 (413),413,Late K,Mid Grade 1,Mid Grade 1,Mid K,20,30,05/28/26,87.6,10,0,48,4,No
"WILLIAMS, Samuel",Grade 7 (582),582,Grade 6,Grade 8,Grade 8,Grade 6,22,41,04/26/26,95.2,5,0,20,2,No
"RODRIGUEZ, Bella",Emerging K (205),205,Emerging K,Mid K,Mid K,Emerging K,22,36,05/18/26,89.8,15,4,23,5,Yes
"CLARK, Owen",Late K (400),400,Early Grade 1,Emerging Grade 1,Late K,Emerging Grade 1,23,31,06/08/26,93.2,9,1,18,4,No
"DIAZ, Camila",Emerging K (142),142,Early K,Emerging K,Mid K,Mid K,43,61,01/09/26,87.1,9,4,25,3,Yes
"BROWN, Sebastian",Emerging K (206),206,Emerging K,Mid K,Mid K,Mid K,23,42,04/22/26,85.6,9,5,0,4,Yes
"NELSON, Mateo",Grade 5 (559),559,Grade 6,Grade 7,Grade 4,Grade 7,25,34,01/13/26,93.0,3,0,24,3,No
"MENDOZA, Caroline",Mid K (366),366,Mid K,Late K,Early K,Early K,33,47,06/18/26,92.8,6,4,40,3,Yes
"TURNER, Jack",Late Grade 1 (472),472,Mid Grade 1,Mid Grade 1,Grade 3,Grade 3,42,57,06/04/26,93.1,4,1,42,4,No
"BAKER, Caleb",Mid K (369),369,Emerging K,Emerging Grade 1,Emerging K,Emerging K,32,41,01/22/26,92.0,11,2,18,4,No
"SANCHEZ, Logan",Late Grade 1 (470),470,Mid Grade 1,Grade 3,Early Grade 1,Late Grade 1,34,42,05/28/26,91.1,4,0,41,4,No
"WRIGHT, Samuel",Grade 2 (490),490,Mid Grade 1,Grade 3,Grade 3,Grade 3,45,60,05/02/26,95.7,8,0,49,5,No
"ROJAS, Gabriel",Grade 5 (552),552,Grade 7,Grade 7,Grade 7,Grade 4,44,55,03/15/26,97.2,10,0,11,4,No
"ANDERSON, Harper",Emerging K (171),171,Mid K,Early K,Emerging K,Emerging K,38,51,01/11/26,81.7,12,0,20,4,Yes
"NUNEZ, Charles",Emerging Grade 1 (419),419,Mid Grade 1,Emerging Grade 1,Mid K,Emerging Grade 1,36,48,02/17/26,94.2,10,0,34,3,No
"ROJAS, Julian",Grade 4 (531),531,Grade 4,Grade 4,Grade 4,Grade 3,44,64,05/27/26,94.7,2,0,22,4,No
"EVANS, Hudson",Grade 5 (548),548,Grade 3,Grade 5,Grade 6,Grade 3,32,45,05/24/26,93.8,13,1,23,4,No
"HARRIS, Claire",Emerging Grade 1 (410),410,Late K,Emerging Grade 1,Mid Grade 1,Mid K,23,33,05/18/26,92.1,9,2,49,3,No
"LEE, Samantha",Grade 3 (507),507,Grade 5,Grade 4,Late Grade 1,Grade 2,20,39,06/11/26,95.1,7,0,16,4,No
"SALAZAR, Everly",Grade 5 (554),554,Grade 6,Grade 6,Grade 6,Grade 6,30,35,04/22/26,95.4,6,1,4,4,No
"GONZALEZ, Andrew",Late Grade 1 (463),463,Late Grade 1,Grade 3,Early Grade 1,Late Grade 1,45,59,05/03/26,91.5,15,0,42,1,No
"BAKER, Alexander",Early K (346),346,Mid K,Early K,Mid K,Mid K,20,29,01/02/26,93.2,10,1,5,3,No
"JONES, Naomi",Early K (353),353,Early K,Early K,Early K,Early K,39,52,02/04/26,91.4,15,3,48,5,Yes
"LEWIS, Christopher",Mid Grade 1 (443),443,Mid Grade 1,Emerging Grade 1,Mid Grade 1,Emerging Grade 1,26,46,03/12/26,95.2,11,0,39,2,No
"SMITH, Sebastian",Emerging Grade 1 (411),411,Mid Grade 1,Emerging Grade 1,Mid Grade 1,Late K,38,54,03/14/26,92.3,11,2,45,4,No
"ORTIZ, Luke",Late Grade 1 (471),471,Grade 2,Grade 2,Grade 2,Late Grade 1,44,58,04/18/26,96.1,11,0,17,5,No
"BAKER, Evelyn",Early K (325),325,Emerging K,Emerging K,Emerging K,Late K,44,55,01/18/26,88.8,17,1,41,4,No
"THOMAS, Luke",Early K (339),339,Early K,Late K,Emerging K,Late K,31,36,06/08/26,92.3,6,1,10,4,No
"HARRIS, Evelyn",Early K (330),330,Late K,Mid K,Emerging K,Early K,44,64,02/03/26,89.0,12,2,33,5,No
"TAYLOR, Luke",Emerging Grade 1 (415),415,Mid K,Mid K,Emerging Grade 1,Mid K,42,55,06/09/26,87.6,7,0,24,3,No
"TORRES, Emilia",Early Grade 1 (433),433,Emerging Grade 1,Late Grade 1,Mid Grade 1,Early Grade 1,31,51,04/20/26,97.8,9,1,14,2,No
"CONTRERAS, Hudson",Early K (332),332,Early K,Mid K,Emerging K,Early K,33,48,06/04/26,85.8,11,0,10,4,No
"RODRIGUEZ, Jayden",Mid K (360),360,Emerging Grade 1,Emerging Grade 1,Early K,Early K,40,46,05/05/26,92.0,11,0,25,4,No
"RODRIGUEZ, Josiah",Grade 4 (530),530,Grade 2,Grade 3,Grade 5,Grade 6,35,55,02/08/26,96.6,3,1,49,3,No
"WRIGHT, Charles",Mid K (379),379,Mid K,Late K,Emerging Grade 1,Emerging Grade 1,22,34,04/13/26,90.2,10,1,32,4,No
"CASTILLO, Elijah",Emerging Grade 1 (420),420,Mid Grade 1,Mid K,Mid Grade 1,Mid Grade 1,44,52,01/16/26,87.5,4,1,0,5,No
"THOMPSON, Elena",Early Grade 1 (432),432,Late K,Late Grade 1,Mid Grade 1,Emerging Grade 1,45,65,04/12/26,87.4,6,2,44,4,No
"ORTIZ, Theodore",Mid K (380),380,Early K,Emerging K,Mid K,Emerging Grade 1,37,55,03/07/26,94.7,10,0,33,2,No
"ANDERSON, Aiden",Mid Grade 1 (451),451,Late Grade 1,Mid Grade 1,Emerging Grade 1,Early Grade 1,33,46,03/28/26,88.4,7,1,43,3,No
"JACKSON, Jack",Early Grade 1 (438),438,Mid Grade 1,Emerging Grade 1,Early Grade 1,Late Grade 1,37,57,03/10/26,87.0,6,0,8,5,No
"MORALES, Charles",Grade 2 (495),495,Late Grade 1,Mid Grade 1,Late Grade 1,Grade 4,32,47,05/20/26,91.9,3,0,40,1,No
"GUTIERREZ, Mia",Emerging Grade 1 (420),420,Early Grade 1,Mid K,Mid K,Emerging Grade 1,27,43,01/20/26,93.9,10,5,39,4,Yes
"CARTER, Wyatt",Emerging K (298),298,Emerging K,Mid K,Early K,Early K,20,31,06/26/26,86.6,10,2,32,4,No
"EVANS, Victoria",Early K (323),323,Mid K,Early K,Emerging K,Early K,22,35,04/12/26,87.7,8,0,0,4,No
"ESTRADA, Christopher",Late Grade 1 (478),478,Grade 3,Late Grade 1,Late Grade 1,Late Grade 1,27,38,04/13/26,90.7,7,0,6,4,No
"DELGADO, Lincoln",Late K (384),384,Early Grade 1,Late K,Early Grade 1,Early Grade 1,28,47,04/19/26,88.2,10,0,49,4,No
"ROBERTS, Anthony",Grade 4 (536),536,Grade 2,Grade 4,Grade 2,Grade 5,40,52,06/23/26,94.9,9,3,33,4,Yes
"AGUILAR, Maya",Mid K (358),358,Late K,Mid K,Emerging K,Emerging Grade 1,25,45,03/12/26,90.6,14,0,47,4,No
"ALLEN, Sebastian",Grade 2 (488),488,Late Grade 1,Grade 2,Late Grade 1,Late Grade 1,26,38,05/12/26,94.2,9,3,43,5,Yes
"EVANS, Bella",Emerging K (319),319,Mid K,Emerging K,Early K,Early K,39,54,04/19/26,91.0,8,5,32,3,Yes
"PEREZ, Benjamin",Early Grade 1 (434),434,Mid Grade 1,Late Grade 1,Late K,Late Grade 1,31,48,06/25/26,95.3,16,2,29,3,No
"MARTINEZ, Sofia",Late Grade 1 (473),473,Grade 3,Early Grade 1,Late Grade 1,Late Grade 1,39,52,02/18/26,92.6,10,5,21,3,Yes
"LEE, Bella",Early K (344),344,Mid K,Late K,Mid K,Late K,25,34,05/22/26,89.4,12,0,15,4,No
"ROMERO, Grayson",Early K (330),330,Late K,Emerging K,Early K,Late K,35,44,06/17/26,86.6,10,1,16,4,No
"PEREZ, Josiah",Late K (386),386,Early K,Mid K,Late K,Emerging Grade 1,40,48,04/24/26,89.0,12,1,16,3,No
"MORALES, Jayden",Late K (400),400,Mid K,Early Grade 1,Early Grade 1,Early Grade 1,25,39,03/11/26,88.8,6,2,5,3,No
"LEWIS, Wyatt",Mid Grade 1 (445),445,Early Grade 1,Mid Grade 1,Late Grade 1,Grade 2,38,55,01/03/26,93.3,10,0,18,4,No
"THOMAS, Caroline",Mid K (370),370,Mid K,Emerging Grade 1,Emerging Grade 1,Late K,33,43,02/28/26,94.6,10,1,47,4,No
"ALVAREZ, Lucas",Early K (327),327,Emerging K,Emerging K,Late K,Emerging K,20,37,05/25/26,90.6,10,1,5,4,No
"HERRERA, Hazel",Mid K (379),379,Mid K,Late K,Early K,Early K,36,46,01/02/26,86.7,5,0,30,4,No
"VARGAS, Lucy",Early Grade 1 (425),425,Late Grade 1,Emerging Grade 1,Late Grade 1,Late Grade 1,34,52,05/21/26,89.9,7,0,34,3,No
"WHITE, Mia",Mid K (369),369,Mid K,Early K,Mid K,Emerging K,20,29,03/10/26,89.4,10,4,48,4,Yes
"THOMPSON, Sofia",Grade 2 (500),500,Late Grade 1,Mid Grade 1,Grade 4,Grade 2,26,44,05/14/26,92.0,9,1,24,5,No
"AGUILAR, Owen",Emerging K (260),260,Emerging K,Mid K,Mid K,Mid K,41,54,03/21/26,88.4,5,0,4,3,No
"REYES, Aubrey",Mid Grade 1 (460),460,Late Grade 1,Mid Grade 1,Grade 2,Late Grade 1,26,41,01/05/26,95.7,9,0,6,3,No
"WHITE, Benjamin",Late Grade 1 (468),468,Early Grade 1,Mid Grade 1,Early Grade 1,Grade 2,26,41,04/10/26,93.6,4,0,44,5,No
"FLORES, Carter",Grade 3 (505),505,Late Grade 1,Grade 3,Grade 4,Late Grade 1,37,57,02/07/26,95.8,6,0,0,2,No
"MENDOZA, Maverick",Late K (395),395,Mid K,Early K,Mid K,Emerging Grade 1,43,51,05/22/26,93.8,9,2,19,5,No
"GONZALEZ, Alexander",Grade 2 (498),498,Grade 4,Mid Grade 1,Grade 2,Grade 3,40,54,02/12/26,98.0,4,0,7,3,No
"JOHNSON, Aurora",Emerging K (303),303,Early K,Mid K,Emerging K,Early K,45,57,01/02/26,84.6,8,2,9,3,Yes
"MENDOZA, Mia",Early K (326),326,Mid K,Emerging K,Emerging K,Mid K,40,49,06/18/26,89.6,9,0,35,5,No
"JONES, Christian",Grade 3 (515),515,Grade 2,Late Grade 1,Grade 4,Grade 3,43,52,03/02/26,90.8,7,0,44,4,No
"JIMENEZ, Josiah",Early Grade 1 (431),431,Mid Grade 1,Early Grade 1,Late Grade 1,Late Grade 1,25,32,05/05/26,86.3,10,1,29,1,No
"KING, Genesis",Late K (386),386,Early K,Early Grade 1,Late K,Early Grade 1,27,42,06/03/26,88.4,6,0,33,4,No
"NELSON, Maverick",Early K (339),339,Mid K,Late K,Mid K,Emerging K,23,30,01/27/26,90.9,9,0,6,4,No
"LOPEZ, Elijah",Early Grade 1 (433),433,Mid Grade 1,Late Grade 1,Late Grade 1,Late Grade 1,28,34,03/08/26,90.7,8,4,13,4,Yes
"LEWIS, Lucas",Grade 3 (502),502,Grade 3,Grade 5,Grade 4,Grade 3,45,51,05/09/26,89.2,6,1,4,5,No
"GOMEZ, Jaxon",Emerging K (159),159,Mid K,Early K,Emerging K,Emerging K,36,48,05/21/26,92.2,9,1,47,2,No
"CAMPBELL, Genesis",Late K (395),395,Emerging Grade 1,Early K,Mid K,Mid K,37,54,05/11/26,88.4,6,1,22,5,No
"JACKSON, Camila",Grade 2 (494),494,Grade 2,Grade 4,Late Grade 1,Grade 4,37,48,04/25/26,88.7,6,0,28,4,No
"GARCIA, Isaac",Late Grade 1 (470),470,Grade 3,Early Grade 1,Grade 3,Mid Grade 1,29,34,03/08/26,93.4,10,2,44,5,No
"CAMPBELL, Paisley",Grade 5 (545),545,Grade 3,Grade 3,Grade 6,Grade 5,24,33,03/12/26,96.9,5,0,19,2,No
"RAMIREZ, Ellie",Grade 5 (543),543,Grade 5,Grade 6,Grade 4,Grade 6,42,50,05/21/26,93.7,11,0,5,5,No
"WILLIAMS, Maverick",Late K (394),394,Emerging Grade 1,Early K,Mid K,Early Grade 1,20,37,01/10/26,87.8,9,1,20,4,No
"CHAVEZ, Owen",Emerging K (287),287,Early K,Early K,Mid K,Mid K,36,43,02/14/26,87.9,14,0,5,4,No
"PEREZ, Naomi",Early Grade 1 (429),429,Late K,Mid Grade 1,Late Grade 1,Mid Grade 1,44,53,02/16/26,88.4,7,1,12,4,No
"GREEN, Adrian",Mid K (358),358,Mid K,Late K,Mid K,Emerging Grade 1,22,30,06/14/26,87.3,11,0,38,4,No
"HERRERA, Maverick",Early K (343),343,Late K,Early K,Late K,Emerging K,27,38,06/12/26,91.9,14,0,47,1,No
"GUTIERREZ, Nova",Grade 4 (530),530,Grade 2,Grade 4,Grade 2,Grade 4,34,54,01/11/26,95.5,10,0,33,4,No
"WALKER, Christopher",Mid Grade 1 (445),445,Emerging Grade 1,Late Grade 1,Grade 2,Grade 2,21,34,02/02/26,91.1,13,1,3,4,No
"RAMIREZ, Sofia",Late K (389),389,Late K,Early K,Early K,Late K,40,57,02/13/26,85.7,9,3,31,5,Yes
"RIVERA, Asher",Early K (353),353,Late K,Emerging K,Emerging K,Early K,36,50,03/16/26,87.8,11,0,22,3,No
"GUERRERO, John",Grade 8 (617),617,Grade 7,Grade 6,Grade 8,Grade 7,32,37,05/09/26,97.4,8,0,8,2,No
"SCOTT, Grayson",Grade 6 (580),580,Grade 5,Grade 7,Grade 5,Grade 8,24,42,03/20/26,94.0,9,0,8,4,No
"ROMERO, Samantha",Grade 4 (530),530,Grade 6,Grade 3,Grade 5,Grade 3,40,50,03/03/26,87.8,4,0,20,5,No
"HERNANDEZ, Logan",Grade 2 (494),494,Grade 3,Grade 2,Grade 3,Grade 2,24,35,01/05/26,95.4,12,0,17,4,No
"SALAZAR, Joshua",Mid Grade 1 (448),448,Emerging Grade 1,Mid Grade 1,Emerging Grade 1,Late Grade 1,24,44,06/21/26,88.1,12,1,8,2,No
"LOPEZ, Owen",Late K (381),381,Late K,Emerging Grade 1,Mid K,Mid K,44,55,01/06/26,98.2,6,3,31,4,Yes
"MENDOZA, Anthony",Emerging Grade 1 (402),402,Mid Grade 1,Early Grade 1,Emerging Grade 1,Early Grade 1,39,45,05/04/26,85.6,11,0,15,4,No
"GONZALEZ, Isaac",Early Grade 1 (437),437,Late K,Emerging Grade 1,Early Grade 1,Mid Grade 1,32,46,03/15/26,92.9,11,4,44,4,Yes
"LEWIS, Logan",Grade 3 (515),515,Late Grade 1,Grade 5,Late Grade 1,Grade 2,44,53,04/14/26,93.7,8,0,45,5,No
"RIVERA, Anthony",Mid K (378),378,Early K,Emerging K,Emerging K,Emerging K,42,61,06/12/26,93.8,12,2,32,4,No
"ANDERSON, Alexander",Early Grade 1 (422),422,Emerging Grade 1,Early Grade 1,Late Grade 1,Emerging Grade 1,25,34,02/25/26,90.9,6,0,49,5,No
"JIMENEZ, Wyatt",Emerging K (133),133,Emerging K,Emerging K,Mid K,Early K,20,39,04/28/26,83.2,11,1,31,3,Yes
"ROBINSON, Anna",Emerging Grade 1 (415),415,Mid K,Mid Grade 1,Mid Grade 1,Mid K,27,40,05/21/26,85.8,7,0,9,1,No
"LOPEZ, Julian",Early K (323),323,Mid K,Mid K,Emerging K,Emerging K,23,41,02/06/26,87.3,7,2,38,4,No
"CASTILLO, Paisley",Grade 7 (599),599,Grade 7,Grade 5,Grade 5,Grade 7,30,46,04/27/26,99.3,7,0,18,4,No
"CONTRERAS, Harper",Mid K (369),369,Emerging Grade 1,Early K,Early K,Emerging Grade 1,21,29,05/24/26,93.5,9,0,46,4,No
"ESTRADA, Ryan",Emerging Grade 1 (411),411,Emerging Grade 1,Mid Grade 1,Mid Grade 1,Mid Grade 1,31,40,05/19/26,86.2,9,1,11,5,No
"GARCIA, Sebastian",Early K (350),350,Emerging K,Early K,Late K,Late K,21,36,03/18/26,89.9,8,1,44,3,No
"HERRERA, Ethan",Mid K (373),373,Mid K,Emerging K,Emerging K,Mid K,30,47,06/19/26,89.3,9,0,21,5,No
"WALKER, Caleb",Grade 5 (542),542,Grade 4,Grade 6,Grade 4,Grade 6,37,52,04/26/26,97.9,0,0,33,3,No
"SMITH, Nathan",Early Grade 1 (421),421,Emerging Grade 1,Late Grade 1,Early Grade 1,Early Grade 1,22,31,03/27/26,100.0,10,1,10,4,No
"REYES, Thomas",Grade 4 (530),530,Grade 4,Grade 2,Grade 4,Grade 5,22,42,02/12/26,87.6,9,0,19,3,No
"LOPEZ, Camila",Grade 2 (483),483,Grade 3,Grade 4,Mid Grade 1,Grade 3,36,45,02/11/26,97.7,5,0,49,3,No
"GOMEZ, Maverick",Grade 3 (517),517,Grade 2,Grade 2,Late Grade 1,Grade 4,32,40,01/10/26,98.2,5,0,5,3,No
"DIAZ, Olivia",Early Grade 1 (430),430,Late K,Late Grade 1,Early Grade 1,Emerging Grade 1,30,41,02/10/26,91.2,11,1,7,3,No
"CONTRERAS, Alexander",Emerging K (259),259,Mid K,Mid K,Emerging K,Emerging K,37,53,05/11/26,87.7,18,2,36,3,No
"HERRERA, Isabella",Mid Grade 1 (451),451,Grade 2,Late Grade 1,Emerging Grade 1,Early Grade 1,20,40,06/02/26,93.0,9,1,11,4,No
"HARRIS, Anna",Mid Grade 1 (450),450,Mid Grade 1,Early Grade 1,Grade 2,Emerging Grade 1,44,63,05/05/26,96.7,11,2,6,4,No
"LEWIS, Samantha",Emerging Grade 1 (408),408,Late K,Mid Grade 1,Emerging Grade 1,Emerging Grade 1,32,42,06/22/26,88.1,14,0,31,1,No
"REYES, Dylan",Late K (395),395,Mid K,Late K,Late K,Early Grade 1,38,47,05/04/26,86.5,12,0,35,4,No
"BAKER, John",Emerging Grade 1 (419),419,Early Grade 1,Late K,Mid Grade 1,Late K,37,47,04/13/26,92.9,10,2,27,5,No
"RAMIREZ, Aurora",Grade 2 (498),498,Late Grade 1,Late Grade 1,Mid Grade 1,Grade 4,35,43,05/20/26,89.7,8,1,11,3,No
"DIAZ, Thomas",Late Grade 1 (480),480,Grade 2,Late Grade 1,Grade 2,Early Grade 1,22,33,02/19/26,96.3,5,0,9,4,No
"BAKER, Savannah",Mid K (375),375,Emerging Grade 1,Late K,Early K,Early K,41,56,03/19/26,91.0,5,4,27,4,Yes
"RIVERA, Julian",Early Grade 1 (440),440,Late Grade 1,Mid Grade 1,Emerging Grade 1,Early Grade 1,21,37,05/02/26,95.4,9,5,7,5,Yes
"GUERRERO, Emma",Emerging Grade 1 (419),419,Early Grade 1,Emerging Grade 1,Early Grade 1,Early Grade 1,32,50,05/07/26,89.2,6,0,24,5,No
